slang,formal,In-dictionary,context,category1,category2,category3
sbelum,sebelum,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,abreviasi,0,0
ngamatin,mengamati,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,afiksasi,0,0
ngintip,mengintip,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,afiksasi,0,0
stelah,setelah,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,zeroisasi,0,0
sndiri,sendiri,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,abreviasi,0,0
ngintilin,mengintil,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,afiksasi,0,0
smnjak,semenjak,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,abreviasi,0,0
trbukti,terbukti,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,abreviasi,0,0
nyambet,menyambat,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,afiksasi,modifikasi vokal,0
msk,masuk,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,abreviasi,0,0
krmh,ke rumah,0,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,abreviasi,akronim,0
rmh,rumah,1,@sarihutabarat12 gimana klo yg ngomomg si maia drama justru dia king of drama?? Emang lo tau dr mana tuh pagar gk dikunci dan sengaja diliput media? Dr si botak atas wawancaranya ma dedy corbuzier? Emang dia jg pnya bukti? Itu medua bkn dipanggil bunmai tp mang udh tau klo al ultah dan kbetulan kasus cerai orgtuanya lg marak jd wartawan justru jauh hari sbelum al ultah udh ngamatin kediaman maia dhanu pas itu emang si mulan ada diatas sempat ngintip pake baju maia dan stelah nego sm manager maia dia suruh buka dah tuh kunci pagar. Itu orng medianya sndiri yg ksh info. Dia udh ngintilin mulan dhani trus smnjak maia gugat cerai dhani dan trbukti mulam selalu nyambet posisi parkiran mobil maia dan main msk krmh aja sm si botak pdhl rmh gk ada maia dan cm ada pembantu. Sapa yg drama skrg??,abreviasi,0,0
bo'ong,bohong,1,"Iye betul bunda maia...ada yg lg drama cari perhatian hehe...basi"".. dlu drama skrg drama..masyarakat indo jg tau...sapa yg suka bo'ong dri dlu..sapa lg klo bkn nyai cireng...hahaii...",pungtuasi,zeroisasi,0
eloo,lo,1,"@ruthnancy96 yg ga punya hati itu eloo. Apa2nya bukan , kenal juga nggak, tapi SOK MENGHAKIMI manusia. Dasar goblokkk. Otak sesatt, hati ibliss. sok taunya uda kayak elo pernah jadi babunya dani & bunda aje ?",anaptiksis,elongasi,0
apa2nya,apa-apanya,0,"@ruthnancy96 yg ga punya hati itu eloo. Apa2nya bukan , kenal juga nggak, tapi SOK MENGHAKIMI manusia. Dasar goblokkk. Otak sesatt, hati ibliss. sok taunya uda kayak elo pernah jadi babunya dani & bunda aje ?",reduplikasi,0,0
goblokkk,goblok,1,"@ruthnancy96 yg ga punya hati itu eloo. Apa2nya bukan , kenal juga nggak, tapi SOK MENGHAKIMI manusia. Dasar goblokkk. Otak sesatt, hati ibliss. sok taunya uda kayak elo pernah jadi babunya dani & bunda aje ?",elongasi,0,0
sesatt,sesat,1,"@ruthnancy96 yg ga punya hati itu eloo. Apa2nya bukan , kenal juga nggak, tapi SOK MENGHAKIMI manusia. Dasar goblokkk. Otak sesatt, hati ibliss. sok taunya uda kayak elo pernah jadi babunya dani & bunda aje ?",elongasi,0,0
ibliss,iblis,1,"@ruthnancy96 yg ga punya hati itu eloo. Apa2nya bukan , kenal juga nggak, tapi SOK MENGHAKIMI manusia. Dasar goblokkk. Otak sesatt, hati ibliss. sok taunya uda kayak elo pernah jadi babunya dani & bunda aje ?",elongasi,0,0
elo,lo,1,"@ruthnancy96 yg ga punya hati itu eloo. Apa2nya bukan , kenal juga nggak, tapi SOK MENGHAKIMI manusia. Dasar goblokkk. Otak sesatt, hati ibliss. sok taunya uda kayak elo pernah jadi babunya dani & bunda aje ?",anaptiksis,0,0
kbiasaan,kebiasaan,1,"@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani.",abreviasi,0,0
hdpnya,hidupnya,0,"@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani.",abreviasi,0,0
lbh,lebih,1,"@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani.",abreviasi,0,0
byk,banyak,1,"@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani.",abreviasi,0,0
anknya,anaknya,0,"@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani.",abreviasi,0,0
tdr,tidur,1,"@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani.",abreviasi,0,0
sbuah,sebuah,1,"@veloveputrii yg goblok dan gk ada otak, otak udang cm 0,1% itu elo. Emang utk tau smua hrs jd babunya dhani maia dlu?? Skrg jaman udh canggih dan gampang jalin relasi buat tau ttg sesuatu gw mang ckup tau ttg kbiasaan dhani yg doyan perempuan itu udh lama tp yg difitnah malah maia. Intinya ya otak udang lo liat aja skrg sapa yg hdpnya lbh enak dan bahagia dan yg gk byk ngomong. Si dhani rmh aja pake pny anknya Al, job sepi, cari sensasi mulu utk pngalihan issue, dll nah si maia lo liat aja jd wanita sukses kaya raya rmh elit , jalan2 mulu ke eropa itu bukti Tuhan gk prnh tdr. Org pintar liat titik ending dr sbuah kebenaran bkn pembenaran spt yg dilakukan mulan dan dhani.",abreviasi,0,0
anak2nya,anak-anaknya,0,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,reduplikasi,0,0
tdnya,tadinya,0,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,0,0
ank2nya,anak-anaknya,0,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,reduplikasi,0
milih,memilih,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,afiksasi,0,0
branjak,beranjak,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,zeroisasi,0,0
ank2,anak-anak,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,abreviasi,reduplikasi,0
masyarakay,masyarakat,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,salah ketik,0,0
mudah2an,mudah-mudahan,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,reduplikasi,0,0
menegerti,mengerti,1,@veloveputrii lo liat jg anak2nya yg tdnya si dhani bersih keras bkin maia jauh dr ank2nya tp akhirnya ank2nya yg milih kembali ke ibunya sndiri kn stelah mrk branjak besar dan sdh mulai mengerti.. Ank2 tuh gk bs bohong masyarakay yg lht jg bs nilai dr situ ya otak udang mudah2an otak lo nyampe utk menegerti itu jgn kyk majikan lo si mulan yg gk nyampe pikirannya makanya suami temen yg bkin hdpnya enak diembat juga,anaptiksis,0,0
apa2,apa-apa,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,reduplikasi,0,0
sok2,sok-sok,0,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,reduplikasi,0,0
nasehatin,menasihati,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,afiksasi,modifikasi vokal,0
ngaca,mengaca,1,@veloveputrii goblok emang lo! Gatau apa2 sok2 an nasehatin al .. Ngaca dlu gih jgn2 lo fans nya mulan hahahha pantes sama jelek nya,afiksasi,0,0
ajah,saja,1,Congrats kak!! Lanjut S2 ajah kak,zeroisasi,anaptiksis,0
kakkkk,kak,1,Congrats kakkkk!,elongasi,0,0
slamet,selamat,1,Slamet kak @maudyayunda,zeroisasi,modifikasi vokal,0
ampe,sampai,1,@ajenggiantie ampe dia jago nari...,zeroisasi,monoftongisasi,0
nari,menari,1,@ajenggiantie ampe dia jago nari...,afiksasi,0,0
ehh,eh,1,Ngapain ehh,elongasi,0,0
mf,maaf,1,Mf bru ngcpin nih hehe,abreviasi,0,0
ngcpin,mengucapkan,1,Mf bru ngcpin nih hehe,abreviasi,afiksasi,0
woowwww,wow,1,woowwww semenjak aku gabung di www.regram.net sekarang instagramku banyak followers nya .. terimakasih www.regram.net,elongasi,0,0
kdg,kadang,1,"Kdg nyesel knp baru skrg baru ngerasa kehadiran Maudy,semangatdan prinsip pendidikanmu nular sampai sini mod jadi semangat walaupun skrg kuliah busa dibilang banyak kebagi fokus :)",abreviasi,0,0
kebagi,terbagi,1,"Kdg nyesel knp baru skrg baru ngerasa kehadiran Maudy,semangatdan prinsip pendidikanmu nular sampai sini mod jadi semangat walaupun skrg kuliah busa dibilang banyak kebagi fokus :)",afiksasi,0,0
nerusin,meneruskan,1,"Nerusin S2 di Indo aja mod,univ di Indonesia gak kalah sistem dan mutu kok Mod hehe",afiksasi,0,0
indo,indonesia,1,"Nerusin S2 di Indo aja mod,univ di Indonesia gak kalah sistem dan mutu kok Mod hehe",abreviasi,0,0
univ,universitas,1,"Nerusin S2 di Indo aja mod,univ di Indonesia gak kalah sistem dan mutu kok Mod hehe",abreviasi,0,0
maen,main,1,"Nyesel nge-tag kmu, maen ngaku"" aja @shoopyah ?",modifikasi vokal,0,0
wihh,wih,1,wihh gara-gara aku pakai www.regram.net sekarang followers aku semakin banyak loh semua nya hanya di www.regram.net,elongasi,0,0
tetapppp,tetap,1,Tetapppp gantenggg @aliandooo,elongasi,0,0
gantenggg,ganteng,1,Tetapppp gantenggg @aliandooo,elongasi,0,0
jakety,jaketnya,0,Hitam jakety.tapi tetap cakep kok bang.prilliy kok gak ada,word-value letter,0,0
nggk,tidak,1,Nggk apa apa skli kli...ali yg penting km ttp smart.. @aliandooo,abreviasi,0,0
skli,sekali,1,Nggk apa apa skli kli...ali yg penting km ttp smart.. @aliandooo,abreviasi,0,0
kli,kali,1,Nggk apa apa skli kli...ali yg penting km ttp smart.. @aliandooo,abreviasi,0,0
ttp,tetap,1,Nggk apa apa skli kli...ali yg penting km ttp smart.. @aliandooo,abreviasi,0,0
pala,kepala,1,Pala barbie pusingggg,zeroisasi,0,0
pusingggg,pusing,1,Pala barbie pusingggg,elongasi,0,0
pucing,pusing,1,PUCING PALA ABANG NENG??,subtitusi,0,0
ihhhh,ih,1,Ihhhh maho,elongasi,0,0
maho,manusia homo,0,Ihhhh maho,akronim,0,0
gantng,ganteng,1,Gpp...ttp gantng kok bang,abreviasi,0,0
alak,kepala,1,PUCING ALAK EBI YA KAK ALI ?#(kidding),salah ketik,0,0
hilangv,hilang,1,biar item ga akn hilangv di hati aku....,salah ketik,0,0
bungggg,bung,1,Item manis bungggg,elongasi,0,0
gapap,tidak apa-apa,0,"Gapap klo abang ali keliatan hitam manis, yg penting ganteng nya ga akan hilang..?",akronim,0,0
kyak,kayak,1,Ini kyak nya foto abang yg pling byk di comment deh ?,abreviasi,0,0
pling,paling,1,Ini kyak nya foto abang yg pling byk di comment deh ?,abreviasi,0,0
gokiiill,gila,1,11k komen gokiiill @fathiyyahazz,coinage,elongasi,0
busedh,buset,1,Tembus 11k busedh?,subtitusi,anaptiksis,0
gokilnya,gilanya,0,Kangen Gokilnya @aliandooo yang dulu.. Kangen mesranya sma @prillylatuconsina96 yang duluuu.,coinage,0,0
duluuu,dulu,1,Kangen Gokilnya @aliandooo yang dulu.. Kangen mesranya sma @prillylatuconsina96 yang duluuu.,elongasi,0,0
keceee,kece,1,Bagi aku bagaimana pun bg Ali tetap aja ganteng dan keceee nyaa apalagi klu shalat hhhmmm gilaa banget ganteng nya sampai gak berkedip mata aku kk??? @aliandooo,elongasi,0,0
nyaa,nya,1,Bagi aku bagaimana pun bg Ali tetap aja ganteng dan keceee nyaa apalagi klu shalat hhhmmm gilaa banget ganteng nya sampai gak berkedip mata aku kk??? @aliandooo,elongasi,0,0
klu,kalau,1,Bagi aku bagaimana pun bg Ali tetap aja ganteng dan keceee nyaa apalagi klu shalat hhhmmm gilaa banget ganteng nya sampai gak berkedip mata aku kk??? @aliandooo,abreviasi,0,0
gilaa,gila,1,Bagi aku bagaimana pun bg Ali tetap aja ganteng dan keceee nyaa apalagi klu shalat hhhmmm gilaa banget ganteng nya sampai gak berkedip mata aku kk??? @aliandooo,elongasi,0,0
duuhhh,duh,1,Duuhhh tetep ganteng kok,elongasi,0,0
amiiiiinnnnn,amin,1,Amiiiiinnnnn,elongasi,0,0
dg,dengan,1,"Aurel hatinya baik bgt...makanya aura wajah aurel cantik bgt, menerima seorang ibu tiri dg tullus. Suka bgt sm pribadi aurel.",abreviasi,0,0
tullus,tulus,1,"Aurel hatinya baik bgt...makanya aura wajah aurel cantik bgt, menerima seorang ibu tiri dg tullus. Suka bgt sm pribadi aurel.",elongasi,0,0
tw,tau,1,"aurel cita kita sama, aku tw rasanya jd kamu pluk sini puk puk puk semangat ?",abreviasi,subtitusi,0
